Model: SRGAN
Configuration:
Generator Input Channels: 3
Generator Output Channels: 3
Num Upsample Blocks: 2
Num Residual Blocks: 16
Discriminator Input Channels: 3
Learning Rate: 0.0001
Batch Size: 16
Number of Epochs: 100
--------------------------------------------------
Epoch: , Avg Generator Loss: , Avg Discriminator Loss: , Avg Content Loss: , Avg Adversarial Loss: , Avg Validation Generator Loss: , Avg Validation Discriminator Loss: 
2024-06-01 15:30:28,678 - 1, 2.9603, 0.0052, 2.8969, 10.5554, 2.4842, 0.0787
2024-06-01 15:45:24,894 - 2, 2.1837, 0.0024, 2.1325, 8.5295, 1.9906, 0.8947
2024-06-01 16:00:32,300 - 3, 1.8482, 0.0064, 1.7998, 8.0752, 1.7454, 0.6123
2024-06-01 16:15:34,681 - 4, 1.6866, 0.0141, 1.6387, 7.9888, 1.6735, 1.4322
2024-06-01 16:30:05,332 - 5, 1.5947, 0.0142, 1.5420, 8.7934, 1.5644, 0.1574
2024-06-01 16:44:41,220 - 6, 1.5133, 0.0125, 1.4686, 7.4526, 1.4966, 1.2961
2024-06-01 16:59:14,906 - 7, 1.4861, 0.0125, 1.4375, 8.0919, 1.5615, 1.1126
2024-06-01 17:14:05,275 - 8, 1.4710, 0.0266, 1.4251, 7.6540, 1.4768, 0.7589
2024-06-01 17:29:38,607 - 9, 1.4199, 0.0081, 1.3622, 9.6141, 1.4267, 3.4069
2024-06-01 17:45:11,189 - 10, 1.3737, 0.0000, 1.3065, 11.1887, 1.3971, 4.6519
2024-06-01 18:00:56,733 - 11, 1.3519, 0.0000, 1.2700, 13.6471, 1.3912, 4.5378
2024-06-01 18:15:33,687 - 12, 1.3260, 0.0000, 1.2362, 14.9774, 1.3509, 4.4880
2024-06-01 18:30:55,920 - 13, 1.3174, 0.0000, 1.2164, 16.8280, 1.3643, 5.1929
2024-06-01 18:45:24,768 - 14, 1.3055, 0.0000, 1.1918, 18.9496, 1.3283, 4.4672
2024-06-01 19:00:46,819 - 15, 1.2783, 0.0000, 1.1565, 20.3070, 1.3151, 5.6909
2024-06-01 19:15:51,990 - 16, 1.2567, 0.0000, 1.1293, 21.2406, 1.3012, 6.1308
2024-06-01 19:29:52,127 - 17, 1.2363, 0.0000, 1.1020, 22.3821, 1.2808, 6.0354
2024-06-01 19:45:39,175 - 18, 1.2176, 0.0000, 1.0805, 22.8573, 1.2784, 6.1397
2024-06-01 20:00:20,463 - 19, 1.2017, 0.0000, 1.0615, 23.3571, 1.2648, 6.7060
2024-06-01 20:16:24,637 - 20, 1.1640, 0.0134, 1.0743, 14.9355, 1.2759, 1.5036
2024-06-01 20:32:14,294 - 21, 1.1875, 0.0476, 1.1409, 7.7759, 1.2900, 2.0086
